Diplomado Escuelas Universitarias#0
Otros Titulados Medios#0
Sin Estudios#23
Arquitecto O Ingeniero Tecnico#40
Doctorado Y Estudios De Postgrado O Especializacion Para Licenciados#76
No Sabe Leer Ni Escribir#144
Enseñanza Primaria Incompleta, 5 Cursos Egb O Equivalente#183
Formacion Profesional Segundo Grado, Maestria Industrial#207
Formacion Profesional Primer Grado, Oficialia Industrial#228
Licenciado Universitario, Arquitecto O Ingeniero Superior#281
Bachiller, Formacion Profesional Segundo Grado, Titulos Equivalentes O Superiores#460
Bachiller Superior, Bup#494
Graduado Escolar O Equivalente#746
Titulacion Inferior Al Grado De Escolaridad#790
Bachiller Elemental, Graduado Escolar, Egb/Primaria Completa, Certificado Escolaridad O Equivalente#1191
No Aplicable Por Ser Menor De 10 Años#1279
